ts,type,slug,tick,data
1767442078.9023738,quote,btc-updown-15m-1767441600,25,"{""type"": ""quote"", ""tick"": 25, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442079.9053035,tick,btc-updown-15m-1767441600,26,"{""type"": ""tick"", ""tick"": 26, ""slug"": ""btc-updown-15m-1767441600""}"
1767442081.428643,quote,btc-updown-15m-1767441600,26,"{""type"": ""quote"", ""tick"": 26, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.95""}}}"
1767442082.4317288,tick,btc-updown-15m-1767441600,27,"{""type"": ""tick"", ""tick"": 27, ""slug"": ""btc-updown-15m-1767441600""}"
1767442084.022835,quote,btc-updown-15m-1767441600,27,"{""type"": ""quote"", ""tick"": 27, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442085.0256479,tick,btc-updown-15m-1767441600,28,"{""type"": ""tick"", ""tick"": 28, ""slug"": ""btc-updown-15m-1767441600""}"
1767442086.584438,quote,btc-updown-15m-1767441600,28,"{""type"": ""quote"", ""tick"": 28, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.95""}}}"
1767442087.5874314,tick,btc-updown-15m-1767441600,29,"{""type"": ""tick"", ""tick"": 29, ""slug"": ""btc-updown-15m-1767441600""}"
1767442089.147764,quote,btc-updown-15m-1767441600,29,"{""type"": ""quote"", ""tick"": 29, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.95""}}}"
1767442090.150379,tick,btc-updown-15m-1767441600,30,"{""type"": ""tick"", ""tick"": 30, ""slug"": ""btc-updown-15m-1767441600""}"
