enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,stable,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.12,0.98,0.9,300,0,60,-0.75,-3.2,-2.35,0.3,0.7,-1.75,-1.05,11,5,32
0.9,0.06,0.98,0.9,300,20,60,-0.85,-3.1,-2.4,-0.2,0.7,-1.35,-0.65,12,4,32
0.85,0.08,0.98,0.9,180,30,60,-0.24,-4.4,-2.44,0.9,1.81,-2.95,-1.14,23,9,64
0.85,0.08,0.99,0.9,180,30,60,-0.29,-4.4,-2.49,0.8,1.91,-3.0,-1.09,23,9,64
0.9,0.1,0.99,0.9,300,30,30,-0.1,-4.8,-2.5,-1.1,2.9,-1.9,1.0,21,8,58
0.9,0.08,0.98,0.95,450,0,60,-0.25,-4.51,-2.51,1.11,-0.4,-0.96,-1.36,73,23,196
0.9,0.06,0.98,0.9,450,0,15,-0.05,-5.2,-2.65,-0.1,2.1,-2.05,0.05,40,33,146
0.9,0.08,0.98,0.9,450,30,30,-0.15,-5.0,-2.65,-3.6,3.3,0.15,3.45,31,11,84
0.9,0.12,0.98,0.95,180,30,0,2.36,-10.09,-2.69,3.5,3.4,-4.54,-1.14,78,18,194
0.9,0.12,0.99,0.9,180,20,15,0.1,-5.6,-2.7,-3.1,0.8,2.4,3.2,17,5,44
0.9,0.06,0.98,0.9,180,30,0,1.05,-7.6,-2.75,-0.2,1.2,0.05,1.25,50,16,132
0.9,0.08,0.98,0.95,180,0,60,-0.85,-3.9,-2.8,-3.9,0.9,2.15,3.05,23,9,68
0.9,0.12,0.98,0.9,180,20,15,-0.05,-5.6,-2.85,-3.0,0.7,2.25,2.95,17,5,44
0.9,0.08,0.99,0.9,450,20,60,-0.27,-5.2,-2.87,0.5,1.6,-2.37,-0.77,17,6,46
0.9,0.06,0.98,0.9,450,0,30,-1.05,-3.8,-2.95,-0.6,2.1,-2.55,-0.45,22,20,84
0.9,0.06,0.99,0.9,300,0,15,-1.39,-3.2,-2.99,-0.7,1.61,-2.3,-0.69,26,24,100
0.9,0.06,0.98,0.9,300,30,30,-0.25,-5.5,-3.0,-3.7,2.6,0.85,3.45,21,8,58
0.9,0.1,0.99,0.9,180,0,15,-0.2,-5.6,-3.0,-4.1,0.8,3.1,3.9,14,8,44
0.9,0.1,0.98,0.9,300,30,15,1.15,-8.45,-3.08,-0.6,2.7,-0.95,1.75,38,12,100
0.85,0.12,0.98,0.95,180,20,30,0.13,-6.6,-3.17,-2.7,3.31,-0.48,2.83,70,17,176
0.9,0.1,0.98,0.9,450,30,30,-0.45,-5.5,-3.2,-4.1,3.3,0.35,3.65,31,11,84
0.9,0.12,0.99,0.9,180,0,30,-1.5,-3.4,-3.2,-0.8,0.8,-1.5,-0.7,9,5,28
0.9,0.12,0.98,0.9,180,0,30,-1.55,-3.4,-3.25,-0.9,0.7,-1.35,-0.65,9,5,28
0.9,0.08,0.98,0.9,300,20,60,-1.45,-3.7,-3.3,-0.8,0.7,-1.35,-0.65,12,4,32
0.9,0.1,0.98,0.9,180,30,0,0.75,-8.2,-3.35,1.8,1.2,-2.25,-1.05,51,15,132
0.9,0.1,0.98,0.9,180,0,15,-0.55,-5.6,-3.35,-4.2,0.7,2.95,3.65,14,8,44
0.9,0.12,0.98,0.95,180,0,60,-1.35,-4.1,-3.4,-4.1,0.9,1.85,2.75,25,7,68
0.8,0.12,0.99,0.9,180,30,60,0.4,-7.6,-3.4,4.0,0.52,-4.12,-3.6,38,13,104
0.85,0.08,0.98,0.9,450,30,60,0.77,-8.35,-3.41,2.7,3.33,-5.26,-1.93,66,24,180
0.8,0.1,0.99,0.9,180,30,60,0.29,-7.6,-3.51,4.0,-0.39,-3.32,-3.71,38,13,104
0.9,0.08,0.99,0.9,300,0,60,-1.2,-4.7,-3.55,1.4,0.8,-3.4,-2.6,10,6,32
0.8,0.12,0.99,0.9,450,0,15,4.86,-16.83,-3.56,12.87,-0.14,-7.87,-8.01,107,77,374
0.9,0.1,0.98,0.9,300,20,60,-1.65,-3.9,-3.6,-1.0,0.7,-1.35,-0.65,12,4,32
0.8,0.08,0.98,0.95,450,0,0,9.4,-26.15,-3.68,19.66,1.82,-12.08,-10.26,116,101,466
0.85,0.06,0.98,0.9,180,20,0,0.82,-9.05,-3.71,3.8,1.82,-4.8,-2.98,69,32,202
